,num.impute.selected.cpo,alpha,s
24.0,impute.hist,0.99891,0.00260827
3549.0,impute.median,1.0,0.00203988
125922.0,impute.hist,0.108514,0.000118618
3893.0,impute.hist,0.00466347,0.00436878
146800.0,impute.hist,0.897361,1.95565e-07
167211.0,impute.hist,0.00466347,0.00436878
10093.0,impute.hist,0.108514,0.000118618
3512.0,impute.hist,0.247175,1.71126e-06
168868.0,impute.median,0.292503,0.000100331
3907.0,impute.hist,0.108514,0.000118618
14970.0,impute.median,0.80348,0.0019717
168338.0,impute.mean,0.871388,0.00349709
3485.0,impute.median,0.782972,0.00196789
49.0,impute.hist,0.0,0.364332
9946.0,impute.hist,0.0377584,0.0025746
146820.0,impute.hist,0.744735,0.00281258
3.0,impute.hist,1.0,0.00253068
15.0,impute.hist,0.386663,0.00830523
12.0,impute.mean,0.0598344,0.00463681
28.0,impute.hist,0.892721,0.00113862
167125.0,impute.hist,0.853142,0.0020834
3021.0,impute.hist,0.853142,0.0020834
146212.0,impute.median,0.292503,0.000100331
3481.0,impute.median,0.565437,1.46016e-06
167140.0,impute.mean,0.674726,0.000113489
9977.0,impute.mean,0.979776,1.30981e-06
45.0,impute.hist,0.736376,1.96615e-05
146819.0,impute.median,0.876776,1.79009e-06
146824.0,impute.hist,0.958141,0.000465247
168909.0,impute.median,0.565437,1.46016e-06
14952.0,impute.mean,0.674726,0.000113489
9978.0,impute.hist,0.0377584,0.0025746
146822.0,impute.hist,0.247175,1.71126e-06
146821.0,impute.median,0.876776,1.79009e-06
41.0,impute.median,0.857999,0.0144403
32.0,impute.median,0.876776,1.79009e-06
3510.0,impute.hist,0.897361,1.95565e-07
16.0,impute.mean,0.94592,0.00170864
9986.0,impute.hist,0.108514,0.000118618
9981.0,impute.hist,0.0377584,0.0025746
34539.0,impute.hist,0.892721,0.00113862
3918.0,impute.hist,0.0601734,0.00166778
3902.0,impute.median,0.876776,1.79009e-06
168912.0,impute.median,0.697592,0.028478
43.0,impute.hist,0.334795,0.00244816
14965.0,impute.hist,0.958141,0.000465247
9964.0,impute.mean,0.0598344,0.00463681
11.0,impute.hist,0.897361,1.95565e-07
3903.0,impute.hist,0.958141,0.000465247
3573.0,impute.mean,0.291695,0.000121941
168335.0,impute.hist,0.435164,1.5388e-06
58.0,impute.hist,0.892721,0.00113862
167141.0,impute.hist,0.897361,1.95565e-07
168336.0,impute.hist,0.892721,0.00113862
146607.0,impute.hist,0.0814557,0.0395714
7592.0,impute.hist,0.892721,0.00113862
190411.0,impute.hist,0.0377584,0.0025746
29.0,impute.mean,0.227877,0.0227024
146818.0,impute.median,1.0,0.00766427
9957.0,impute.hist,0.334795,0.00244816
3917.0,impute.median,1.0,0.00766427
2074.0,impute.median,0.542373,0.000641213
22.0,impute.hist,0.892721,0.00113862
3913.0,impute.mean,0.165721,5.24056e-05
53.0,impute.hist,0.108514,0.000118618
3022.0,impute.hist,0.273156,0.00156341
168911.0,impute.hist,1.0,0.00253068
14971.0,impute.hist,0.0601734,0.00166778
3904.0,impute.median,1.0,0.00766427
14.0,impute.hist,0.892721,0.00113862
14954.0,impute.median,1.0,0.00766427
190412.0,impute.mean,0.871388,0.00349709
9952.0,impute.hist,0.555005,0.0039687
10101.0,impute.median,1.0,0.00766427
37.0,impute.hist,0.555005,0.0039687
9910.0,impute.hist,0.952461,0.008777
31.0,impute.median,1.0,0.00766427
219.0,impute.hist,0.897361,1.95565e-07
9971.0,impute.hist,0.555005,0.0039687
3561.0,impute.median,0.876776,1.79009e-06
168908.0,impute.hist,0.0403689,0.0650281
168337.0,impute.mean,0.0436773,0.000837221
189927.0,impute.hist,0.958141,0.000465247
146195.0,impute.hist,0.958141,0.000465247
18.0,impute.mean,0.98438,0.00552979
146606.0,impute.hist,0.104726,0.00118886
3493.0,impute.median,0.876776,1.79009e-06
9956.0,impute.mean,0.291695,0.000121941
125920.0,impute.hist,0.99891,0.00260827
9976.0,impute.median,1.0,0.00144482
189928.0,impute.mean,0.227877,0.0227024
167120.0,impute.hist,1.0,7.84216e-05
9960.0,impute.mean,0.740008,0.00100105
167119.0,impute.median,0.292503,0.000100331
146817.0,impute.median,1.0,0.00203988
168910.0,impute.median,0.565437,1.46016e-06
125921.0,impute.hist,0.958141,0.000465247
168330.0,impute.hist,0.104726,0.00118886
6.0,impute.mean,0.291695,0.000121941
2079.0,impute.median,0.857999,0.0144403
168339.0,impute.median,0.702374,0.000513093
23.0,impute.median,1.0,0.00766427
9950.0,impute.mean,0.0287067,0.00163597
2073.0,impute.hist,0.892721,0.00113862
145681.0,impute.mean,0.740008,0.00100105
168331.0,impute.hist,0.0535219,0.0016894
14969.0,impute.hist,0.108514,0.000118618
10090.0,impute.median,0.0,0.00265654
9985.0,impute.hist,0.897361,1.95565e-07
3560.0,impute.hist,0.273156,0.00156341
189924.0,impute.median,0.857999,0.0144403
168329.0,impute.mean,0.0436773,0.000837221
