,kernel,cost,gamma,tolerance,shrinking,num.impute.selected.cpo,fitted,degree
24.0,radial,1.97841,0.0164895,0.000754686,FALSE,impute.mean,FALSE,
10093.0,radial,2233.58,0.0120381,0.00100122,FALSE,impute.hist,FALSE,
3493.0,radial,2233.58,0.0120381,0.00100122,FALSE,impute.hist,FALSE,
49.0,radial,76.0076,0.123445,0.000490477,FALSE,impute.mean,FALSE,
146212.0,radial,525.066,0.176049,0.0167045,TRUE,impute.hist,FALSE,
10106.0,radial,49.6137,0.000366434,0.00296108,TRUE,impute.median,FALSE,
3.0,radial,1.30768,0.0350715,0.00392842,FALSE,impute.median,FALSE,
146821.0,radial,2233.58,0.0120381,0.00100122,FALSE,impute.hist,FALSE,
3510.0,radial,5.06824,0.124824,0.0143071,TRUE,impute.hist,FALSE,
3893.0,radial,18.3,0.0124884,0.00053216,FALSE,impute.mean,FALSE,
125922.0,radial,7.454,0.0113848,0.000992728,FALSE,impute.median,FALSE,
167211.0,radial,0.722481,0.00243237,0.0340623,TRUE,impute.hist,FALSE,
32.0,radial,2467.28,0.338639,0.0162144,TRUE,impute.mean,FALSE,
3549.0,radial,2.99614,0.051282,0.0472416,FALSE,impute.median,FALSE,
3907.0,radial,18.3,0.0124884,0.00053216,FALSE,impute.mean,FALSE,
168868.0,radial,75.0098,0.465387,0.0637775,FALSE,impute.median,FALSE,
9986.0,radial,6.24547,0.203054,0.0553019,TRUE,impute.median,FALSE,
14970.0,radial,6.87983,0.000478965,0.000758776,TRUE,impute.median,FALSE,
146820.0,radial,49.0877,2.0766,0.000345527,TRUE,impute.hist,FALSE,
168909.0,radial,436.486,0.00132618,0.00557754,TRUE,impute.median,FALSE,
146800.0,radial,1.2348,0.0293468,0.000266427,TRUE,impute.mean,FALSE,
3021.0,radial,4.30181,0.00493306,0.00049637,TRUE,impute.median,FALSE,
28.0,radial,36.6437,0.0244321,0.00357317,TRUE,impute.mean,FALSE,
3512.0,radial,160.089,0.00415564,0.00142312,FALSE,impute.mean,FALSE,
11.0,radial,1.49997,3.44295,0.00163006,TRUE,impute.hist,FALSE,
9946.0,radial,5.9752,0.0353362,0.000813943,FALSE,impute.median,FALSE,
3022.0,radial,1.43517,0.0633816,0.00102734,TRUE,impute.hist,FALSE,
3485.0,radial,588.533,4.96854e-05,0.0189105,FALSE,impute.median,FALSE,
14952.0,radial,210.688,0.0971087,0.00205475,TRUE,impute.hist,FALSE,
167125.0,radial,4.30181,0.00493306,0.00049637,TRUE,impute.median,FALSE,
6.0,radial,5.06824,0.124824,0.0143071,TRUE,impute.hist,FALSE,
15.0,radial,0.654625,0.0347956,0.0434993,FALSE,impute.hist,FALSE,
146824.0,radial,2390.7,0.0044581,0.0360946,FALSE,impute.mean,FALSE,
12.0,radial,272.043,0.00518816,0.0313038,TRUE,impute.median,FALSE,
9977.0,radial,4.88421,1.35131,0.000360632,TRUE,impute.median,FALSE,
16.0,radial,3.75119,0.0104393,0.0065664,FALSE,impute.hist,FALSE,
146822.0,radial,160.089,0.00415564,0.00142312,FALSE,impute.mean,FALSE,
167140.0,radial,210.688,0.0971087,0.00205475,TRUE,impute.hist,FALSE,
146819.0,radial,22.0947,0.0398792,0.00143129,TRUE,impute.hist,FALSE,
45.0,radial,1.30768,0.0350715,0.00392842,FALSE,impute.median,FALSE,
9978.0,radial,0.577405,0.00268898,0.0372566,FALSE,impute.mean,FALSE,
9964.0,radial,272.043,0.00518816,0.0313038,TRUE,impute.median,FALSE,
43.0,radial,9.74491,0.0117705,0.00206192,FALSE,impute.hist,FALSE,
168912.0,radial,41.4586,0.0229779,0.113706,FALSE,impute.hist,FALSE,
3918.0,radial,0.000702694,4.86517,0.000225221,TRUE,impute.hist,FALSE,
9960.0,radial,18.6107,0.326423,0.00087392,FALSE,impute.hist,FALSE,
167141.0,radial,28.6173,0.00467039,0.0125798,FALSE,impute.median,FALSE,
2074.0,radial,18.8771,0.136339,0.0388539,FALSE,impute.mean,FALSE,
9981.0,radial,16.8612,0.00390705,0.0796976,TRUE,impute.mean,FALSE,
34539.0,radial,11191.3,5.76203e-08,0.0038884,TRUE,impute.median,FALSE,
3902.0,radial,0.577405,0.00268898,0.0372566,FALSE,impute.mean,FALSE,
14965.0,radial,43.2393,0.0015294,0.0127645,TRUE,impute.mean,FALSE,
9952.0,radial,47.9354,0.00123274,0.000560335,TRUE,impute.hist,FALSE,
167119.0,radial,75.0098,0.465387,0.0637775,FALSE,impute.median,FALSE,
9957.0,radial,9.74491,0.0117705,0.00206192,FALSE,impute.hist,FALSE,
22.0,radial,34.6388,0.0189303,0.000276324,FALSE,impute.median,FALSE,
58.0,radial,41.4586,0.0229779,0.113706,FALSE,impute.hist,FALSE,
146607.0,radial,2.56084,0.0175251,0.0467795,TRUE,impute.mean,FALSE,
168336.0,radial,0.205657,0.275857,0.106187,TRUE,impute.median,FALSE,
7592.0,radial,5.51222,0.106576,0.000288653,TRUE,impute.median,FALSE,
53.0,radial,6.24547,0.203054,0.0553019,TRUE,impute.median,FALSE,
190411.0,radial,5.9752,0.0353362,0.000813943,FALSE,impute.median,FALSE,
146818.0,radial,0.308182,0.0721381,0.00318252,TRUE,impute.median,FALSE,
29.0,radial,1.1432,0.132443,0.000327997,FALSE,impute.median,FALSE,
3917.0,radial,49.0877,2.0766,0.000345527,TRUE,impute.hist,FALSE,
219.0,radial,28.6173,0.00467039,0.0125798,FALSE,impute.median,FALSE,
41.0,radial,1580.76,0.00421038,0.00222939,TRUE,impute.mean,FALSE,
14954.0,radial,0.308182,0.0721381,0.00318252,TRUE,impute.median,FALSE,
3913.0,radial,0.000702694,4.86517,0.000225221,TRUE,impute.hist,FALSE,
14.0,radial,34.6388,0.0189303,0.000276324,FALSE,impute.median,FALSE,
146195.0,radial,43.2393,0.0015294,0.0127645,TRUE,impute.mean,FALSE,
168911.0,radial,1.30768,0.0350715,0.00392842,FALSE,impute.median,FALSE,
9970.0,radial,1.49997,3.44295,0.00163006,TRUE,impute.hist,FALSE,
3904.0,radial,16.8676,1.41386e-07,0.397473,FALSE,impute.hist,FALSE,
9910.0,radial,536.85,0.00622745,0.00689098,FALSE,impute.median,FALSE,
37.0,radial,47.9354,0.00123274,0.000560335,TRUE,impute.hist,FALSE,
10101.0,radial,16.8676,1.41386e-07,0.397473,FALSE,impute.hist,FALSE,
31.0,radial,0.308182,0.0721381,0.00318252,TRUE,impute.median,FALSE,
3561.0,radial,2233.58,0.0120381,0.00100122,FALSE,impute.hist,FALSE,
9971.0,radial,47.9354,0.00123274,0.000560335,TRUE,impute.hist,FALSE,
189928.0,radial,1.1432,0.132443,0.000327997,FALSE,impute.median,FALSE,
18.0,radial,7.01141,0.000649666,0.00108522,FALSE,impute.hist,FALSE,
146817.0,radial,0.969969,0.00276761,0.00983769,TRUE,impute.median,FALSE,
189927.0,radial,43.2393,0.0015294,0.0127645,TRUE,impute.mean,FALSE,
125920.0,radial,24483.8,0.00220816,0.853594,FALSE,impute.hist,FALSE,
9976.0,radial,322.055,0.00472716,0.00267695,FALSE,impute.mean,FALSE,
2079.0,radial,1580.76,0.00421038,0.00222939,TRUE,impute.mean,FALSE,
145681.0,radial,18.6107,0.326423,0.00087392,FALSE,impute.hist,FALSE,
125921.0,radial,111.358,0.128528,0.00381865,FALSE,impute.mean,FALSE,
168910.0,radial,436.486,0.00132618,0.00557754,TRUE,impute.median,FALSE,
23.0,radial,0.308182,0.0721381,0.00318252,TRUE,impute.median,FALSE,
9950.0,radial,4.60614,0.000314644,0.0211337,TRUE,impute.mean,FALSE,
2073.0,radial,2.99614,0.051282,0.0472416,FALSE,impute.median,FALSE,
14969.0,radial,6.24547,0.203054,0.0553019,TRUE,impute.median,FALSE,
9985.0,radial,41.4586,0.0229779,0.113706,FALSE,impute.hist,FALSE,
10090.0,radial,611.698,9.51046e-07,0.00255204,TRUE,impute.hist,FALSE,
3560.0,radial,1.43517,0.0633816,0.00102734,TRUE,impute.hist,FALSE,
9956.0,radial,3.87722,0.0340204,0.00123562,FALSE,impute.hist,FALSE,
189924.0,radial,1580.76,0.00421038,0.00222939,TRUE,impute.mean,FALSE,
168329.0,radial,186.773,0.000905991,0.000996645,TRUE,impute.median,FALSE,
